university,messages,views,comments,forwards,date
СПбГУ,👌,,0,,2025-02-18 17:46:22+00:00
СПбГУ,"Привет, студент!
Чувствуешь ли ты себя уверенно, выражая свое мнение? Умеешь ли четко доносить свои мысли и отстаивать свои границы? Хочешь ли научиться эффективно общаться с преподавателями, одногруппниками и в будущей профессиональной среде?

Что тебя ждет на тренинге:
🔴Практические инструменты для эффективной коммуникации: Мы разберем техники активного слушания, убеждения, аргументации и конструктивной критики.
🔴Основы ассертивного поведения: Ты узнаешь, как говорить ""нет"" без чувства вины, выражать свои потребности и отстаивать свои права, уважая при этом мнение других.
🔴Ролевые игры и кейсы из студенческой жизни: Мы будем моделировать реальные ситуации, с которыми ты сталкиваешься в университете, чтобы ты мог сразу применить полученные знания на практике.
🔴Работа в группе и поддержка: Ты получишь ценную обратную связь от других участников и возможность обменяться опытом.
🔴Уверенность в себе и своих силах: После тренинга ты почувствуешь себя более уверенно и сможешь эффективно общаться в любых ситуациях.

Ты научишься:
✅Четко и ясно выражать свои мысли и чувства.
✅Активно слушать и понимать собеседника.
✅Убедительно аргументировать свою точку зрения.
✅Говорить ""нет"" без чувства вины.
✅Управлять конфликтными ситуациями.
✅Отстаивать свои границы и права.
✅Выстраивать здоровые и продуктивные отношения.

📌Кому будет полезен этот тренинг:
• Студентам, желающим улучшить свои коммуникативные навыки.
• Тем, кто хочет научиться уверенно выражать свое мнение.
• Всем, кто стремится к эффективному общению и гармоничным отношениям.

Будем рады видеть тебя на тренинге!
Организаторы: Психологическая клиника СПбГУ, Петергоф",,0,,2025-02-17 08:10:20+00:00
СПбГУ,"Приглашаем на тренинг по развитию коммуникативных навыков и ассертивного поведения!

Информация о тренинге:
🗓 Дата: 20.02.2025
🕰 Время: 18:00
🏢 Место: ПУНК, 20-е общежитие
⏳ Продолжительность: 2 - 2,5 часа
🧍Количество участников: 8 человек

Как записаться:
Пишите психологам Психологической клиники СПбГУ: 
👩‍🦳Полине Евгеньевне (@psycholog_polina_i) и 👩‍🦰Елене Сергеевне (@Elena_psychologist_R)

Подробнее:⬇️",,0,,2025-02-17 08:10:14+00:00
СПбГУ,Здравствуйте! Телефон доверия начнет свою работу с 6 января,,0,,2025-01-03 08:07:35+00:00
СПбГУ,Срочно нужно психологическая помощь,,0,,2025-01-03 06:33:21+00:00
СПбГУ,"Здравствуйте, а когда будет работать горячая линия?",,0,,2025-01-03 06:28:52+00:00
СПбГУ,"Анонс мероприятия для проживающих в ПУНК 🌱 

В 02 декабря ждём вас на Группу Эмоциональной Поддержки очно.
На встрече мы коротко познакомимся друг с другом и каждый участник сможет поделиться своими актуальными сложностями, трудностями,  и получить слова поддержки. 
На Группе Поддержки мы не даем советов, не оцениваем поведение других людей и не ищем простого решения проблем. Более подробно о формате можно прочитать здесь #группаподдержки2024

🎁В безопасной обстановке в группе есть возможность высказаться и быть услышанным. 
Встречу проводят психологи Психологической клиники: 👩‍🦳 Полина Евгеньевна (@psycholog_polina_i) и 👩‍🦰 Елена Сергеевна (@Elena_psychologist_R)

🎈 Начало в 18:00
Адрес: ПУНК, 20-е общежитие, кабинет психолога. Мы встретим вас в 17:50 у турникета общежития. 
Длительность: 2 часа. Количество мест ограничено до 10 человек. 
Нужна предварительная запись в личные сообщения: @psycholog_polina_i, @Elena_psychologist_R

Записывайтесь, приходите, будем ждать!",,0,,2024-11-28 08:32:43+00:00
СПбГУ,https://vk.com/wall-49748323_1448,,0,,2024-11-26 16:19:43+00:00
СПбГУ,Спасибо!,,0,,2024-11-25 17:08:12+00:00
СПбГУ,"Да, записи всех вебинаров остаются в видео группы ВК",,0,,2024-11-25 17:02:21+00:00
СПбГУ,"А будет возможность сделать запись? У меня просто не получится в это время присоединиться, но для меня это очень актуальная тема 🥺👉👈",,0,,2024-11-25 17:00:29+00:00
СПбГУ,"Да, опечатались, сейчас поправим",,0,,2024-11-25 13:49:41+00:00
СПбГУ,"25 это понедельник, сегодня",,0,,2024-11-25 12:59:17+00:00
СПбГУ,"🔔 Приглашаем вас на вебинар «Как справиться с психологическим давлением сессии» 
 
Мы поговорим о том...
✅ Что такое стресс 
✅ Какие причины возникновения стресса есть в жизни студента 
✅ Почему сессия является сильным стрессором и ✅ как помочь себе снизить его воздействие 

📅 во вторник 26 ноября в 19:00, прямая трансляция в группе Психологическая клиника СПбГУ 
⏰ Длительность ~ 45 минут 
 
👩‍🏫 Спикеры: Ипатьева Полина Евгеньевна и Романчук Елена Сергеевна - психологи Психологической клиники СПБГУ 
 
📝 Готовьте свои вопросы и до встречи!",,2,,2024-11-25 12:51:57+00:00
СПбГУ,"❤ 22 ноября в России отмечается День психолога! ❤

🔔 Приглашаем вас на вебинар «ДЛЯ ЧЕГО И ЗАЧЕМ НУЖЕН ПСИХОЛОГ?» 
 
На вебинаре вы 
✅ Узнаете кто такой психолог и чем отличается от других специалистов. 
✅ Узнаете о основных функциях психолога. 
✅ Чем отличается консультирование от психотерапии. 
✅ Мифы о психологах и психологии. 
✅ Частые запросы при обращении к психологу. 
 
📅 в пятницу 22 ноября в 17:00, прямая трансляция в группе VKontakte Психологическая клиника СПбГУ 
⏰ Длительность ~ 45 минут 
 
👩‍🏫 Спикер: Водницкая Анастасия Александровна - психолог Психологической клиники СПБГУ 
 
📝 Готовьте свои вопросы и до встречи!",,0,,2024-11-22 10:49:41+00:00
СПбГУ,"Здравствуйте! 
Было бы приятно видеть и слышать каждого участника. Однако, настаивать на включенной камере мы не будем",,0,,2024-11-20 13:43:02+00:00
СПбГУ,Или только звук,,0,,2024-11-20 13:36:51+00:00
СПбГУ,Здравствуйте! А вебку надо будет включать?,,0,,2024-11-20 13:36:48+00:00
СПбГУ,"💡Анонс мероприятия онлайн 💻 

В понедельник 25 ноября ждём вас на Группу Эмоциональной Поддержки онлайн.
На встрече каждый участник сможет поделиться своими актуальными сложностями, трудностями,  и получить слова поддержки. 
На Группе Поддержки мы не даем советов, не оцениваем поведение других людей и не ищем простого решения проблем. Чем тогда полезна встреча?

🎁Люди часто недооценивают силу эмоционального присутствия других людей. В безопасной обстановке в группе появляется возможность высказаться и быть услышанным. 
Встречу проводят психологи Психологической клиники: 👩‍🦳 Полина Евгеньевна (@psycholog_polina_i) и 👩‍🦰 Елена Сергеевна (@Elena_psychologist_R)

🎈 Начало в 19:00 в приложении ЯндексТелемост. Ссылка будет выслана в начале мероприятия. 

Длительность: 2 часа. Количество мест ограничено до 10 человек. 
Нужна предварительная запись в личные сообщения: @psycholog_polina_i, @Elena_psychologist_R
Для записи отправьте нам в личные сообщения свою почту st. 

Записывайтесь, приходите, будем ждать!",,0,,2024-11-20 13:34:55+00:00
СПбГУ,"Здравствуйте. Вы можете обратиться на телефон доверия 8-800-550-01-22.
Также у вас есть возможность прийти на ближайшую группу психологической поддержки.",,0,,2024-11-19 12:21:37+00:00
СПбГУ,Здравствуйте я потратила 5 консультаций мне нужна психологическая помощь что делать,,0,,2024-11-19 11:38:40+00:00
СПбГУ,"Арт-терапевтическая игра
     🖍🖍🖍   🖍🖍🖍🤎

Коллаборация КИО с психологической клиникой 

❓ Зачастую мы живем с мыслью, что что-то не так, но не можем понять что же происходит внутри 🪫

🎞️  🎞️🎞️🎞️🎞️🎞️🎞️🎞️🎞️
🎞️🎞️🎞️🎞️🎞️🎞️🎞️🎞️🎞️🎞️: 
🎞️Вы заглянете во внутренний мир;😩
🎞️ Увидите камень преткновения в своей жизни;🥴
🎞️ Посмотрите на свою жизнь со стороны;🤯
🎞️ Научитесь саморефлексии; 🥺
🎞️ Познакомитесь с Метафорическими картами;🧙‍♀
🎞️ В мягкой и комфортной обстановке проведете время с пользой;🥪

Это уникальная возможность окунуться в свой мир и соприкоснуться с работой профессиональных психологов 🔱

🖍🖍  🖍🖍🖍🖍  🖍🖍🖍
🔴14 ноября в 18:00 
🔴Коворкинг 12-го общежития

📚Для регистрации писать в личные сообщения @ikotissa 📚

✨✨✨✨✨✨✨✨✨✨
Дизайн: @kkkkkkkkkkkkkkkkkkkkkkkk_10
Текст: @ikotissa  
Редактор: @dark_wwwitch",627.0,0,8.0,2024-11-11 10:56:28+00:00
СПбГУ,Приглашаем принять участие в арт-терапевтической встрече! Всех ждём 😊,,0,,2024-11-11 10:56:28+00:00
